epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,14270.9,1.20145,0.8722,1.39489,0.70051,0.71109,0.73875,0.49942,1.26057,0.65777,1.4446,0.006832,0.006832,0.006832
66,14486.8,1.19656,0.88017,1.39412,0.69643,0.71156,0.73971,0.501,1.25979,0.65719,1.44449,0.0067825,0.0067825,0.0067825
67,14701.9,1.19512,0.8677,1.39432,0.70171,0.70301,0.73925,0.50013,1.26007,0.65655,1.4446,0.006733,0.006733,0.006733
68,14914.5,1.18977,0.86654,1.38722,0.70594,0.70265,0.7399,0.50078,1.25954,0.65599,1.44455,0.0066835,0.0066835,0.0066835
69,15127.2,1.18447,0.8598,1.38265,0.70429,0.70584,0.74022,0.50043,1.25958,0.65545,1.44475,0.006634,0.006634,0.006634
70,15340,1.18494,0.85446,1.37994,0.70537,0.70211,0.73985,0.50023,1.25961,0.65502,1.44478,0.0065845,0.0065845,0.0065845
71,15552.6,1.18232,0.85465,1.38172,0.70751,0.70271,0.74011,0.50008,1.25916,0.65498,1.44478,0.006535,0.006535,0.006535
72,15765.3,1.18231,0.84679,1.37951,0.71012,0.70351,0.7398,0.50061,1.25904,0.65481,1.44447,0.0064855,0.0064855,0.0064855
73,15977.9,1.17958,0.84702,1.38176,0.71712,0.70361,0.74009,0.50057,1.2595,0.65386,1.44507,0.006436,0.006436,0.006436
74,16190.6,1.17007,0.84287,1.37561,0.71452,0.70395,0.73979,0.50142,1.2595,0.65409,1.44502,0.0063865,0.0063865,0.0063865
75,16403.3,1.16658,0.82812,1.36762,0.7107,0.70197,0.73983,0.50171,1.25948,0.65368,1.44471,0.006337,0.006337,0.006337
76,16616.2,1.16616,0.83522,1.37297,0.71161,0.70402,0.74014,0.5025,1.25904,0.65375,1.44379,0.0062875,0.0062875,0.0062875
77,16828.9,1.1604,0.82276,1.36749,0.71212,0.70212,0.74076,0.50262,1.25875,0.65292,1.4437,0.006238,0.006238,0.006238
78,17041.7,1.16037,0.8272,1.36773,0.71508,0.70459,0.74136,0.50332,1.25864,0.65191,1.44313,0.0061885,0.0061885,0.0061885
79,17254.3,1.16099,0.82072,1.36731,0.71431,0.70644,0.74164,0.50408,1.25835,0.65185,1.44283,0.006139,0.006139,0.006139
80,17467.1,1.15563,0.81911,1.36234,0.71658,0.70632,0.74122,0.50408,1.25821,0.65192,1.44267,0.0060895,0.0060895,0.0060895
81,17679.9,1.1506,0.81152,1.36031,0.7167,0.70567,0.74176,0.50459,1.25806,0.65212,1.44268,0.00604,0.00604,0.00604
82,17892.7,1.14812,0.80799,1.35287,0.71878,0.70671,0.74255,0.50528,1.25795,0.65187,1.44258,0.0059905,0.0059905,0.0059905
83,18105.5,1.14864,0.80781,1.3581,0.72003,0.70671,0.74243,0.50471,1.25771,0.65153,1.44208,0.005941,0.005941,0.005941
84,18318.2,1.14344,0.80449,1.34966,0.68872,0.71632,0.74282,0.5053,1.25774,0.65138,1.4423,0.0058915,0.0058915,0.0058915
85,18530.9,1.1414,0.79782,1.34878,0.68574,0.71765,0.74257,0.50568,1.25761,0.65164,1.44209,0.005842,0.005842,0.005842
86,18743.6,1.14038,0.79837,1.34897,0.68821,0.72902,0.74258,0.50628,1.25766,0.65132,1.44207,0.0057925,0.0057925,0.0057925
87,18956.2,1.13294,0.79115,1.34319,0.69725,0.71901,0.743,0.50638,1.25728,0.65165,1.44142,0.005743,0.005743,0.005743
88,19169,1.13045,0.78869,1.34193,0.69755,0.71427,0.74363,0.5061,1.25663,0.65115,1.44068,0.0056935,0.0056935,0.0056935
89,19381.6,1.12921,0.78209,1.34051,0.7027,0.71591,0.74419,0.50694,1.25737,0.65134,1.44192,0.005644,0.005644,0.005644
90,19594.3,1.12859,0.77434,1.3361,0.6991,0.71994,0.74404,0.5073,1.2577,0.65147,1.44187,0.0055945,0.0055945,0.0055945
91,19807.1,1.12153,0.77649,1.337,0.69921,0.72066,0.7441,0.50694,1.25752,0.65164,1.4413,0.005545,0.005545,0.005545
92,20019.9,1.11821,0.77244,1.33143,0.70037,0.7204,0.74406,0.50743,1.25768,0.65151,1.44157,0.0054955,0.0054955,0.0054955
93,20232.5,1.11413,0.76988,1.32919,0.69913,0.71849,0.7434,0.50724,1.25791,0.65189,1.44153,0.005446,0.005446,0.005446
94,20445.2,1.11599,0.76808,1.33301,0.69998,0.71849,0.74257,0.5065,1.25783,0.65275,1.44124,0.0053965,0.0053965,0.0053965
95,20657.8,1.10994,0.76365,1.32659,0.70007,0.71789,0.74177,0.5062,1.25778,0.65326,1.44103,0.005347,0.005347,0.005347
96,20870.6,1.11087,0.76586,1.3261,0.70198,0.71611,0.74134,0.50641,1.25755,0.65345,1.44068,0.0052975,0.0052975,0.0052975
97,21083.5,1.09989,0.75937,1.32141,0.70968,0.71312,0.74087,0.50639,1.25753,0.65382,1.44065,0.005248,0.005248,0.005248
98,21296.1,1.0991,0.75391,1.32011,0.71269,0.70904,0.74113,0.50606,1.25782,0.65421,1.44073,0.0051985,0.0051985,0.0051985
99,21508.7,1.09844,0.74749,1.31396,0.71183,0.70924,0.74117,0.50632,1.25797,0.65483,1.44085,0.005149,0.005149,0.005149
100,21721.2,1.09807,0.75019,1.31826,0.714,0.70904,0.74121,0.50612,1.25821,0.65511,1.44096,0.0050995,0.0050995,0.0050995
101,21933.9,1.09111,0.7418,1.31551,0.71655,0.70904,0.7404,0.50445,1.25866,0.65479,1.44139,0.00505,0.00505,0.00505
102,22146.5,1.08314,0.74376,1.31131,0.71682,0.70904,0.74039,0.50522,1.25849,0.65554,1.44106,0.0050005,0.0050005,0.0050005
103,22359.1,1.08908,0.73957,1.31318,0.72125,0.70833,0.74065,0.50676,1.2585,0.65594,1.44151,0.004951,0.004951,0.004951
104,22571.8,1.0791,0.73653,1.3063,0.72103,0.70753,0.74025,0.50684,1.25882,0.65687,1.44193,0.0049015,0.0049015,0.0049015
105,22784.3,1.07582,0.72941,1.30335,0.7212,0.70763,0.73956,0.5067,1.25876,0.65806,1.44175,0.004852,0.004852,0.004852
106,22997,1.07865,0.73085,1.30515,0.71742,0.7093,0.73935,0.50626,1.25864,0.65918,1.44108,0.0048025,0.0048025,0.0048025
107,23209.5,1.07429,0.7229,1.29871,0.71696,0.70713,0.73962,0.50602,1.25854,0.66063,1.44075,0.004753,0.004753,0.004753
108,23422.1,1.06606,0.72524,1.29674,0.71365,0.71008,0.73986,0.50633,1.2594,0.66156,1.44117,0.0047035,0.0047035,0.0047035
109,23637.3,1.07149,0.7224,1.29761,0.71355,0.71034,0.74123,0.5066,1.25938,0.66147,1.44084,0.004654,0.004654,0.004654
110,23851.5,1.06174,0.72075,1.29188,0.71105,0.71325,0.74067,0.50682,1.25962,0.66213,1.44055,0.0046045,0.0046045,0.0046045
111,24064.1,1.0581,0.70942,1.28819,0.71129,0.71062,0.74027,0.50694,1.26027,0.6627,1.44075,0.004555,0.004555,0.004555
112,24276.8,1.05726,0.71116,1.29011,0.68628,0.72682,0.73973,0.50581,1.26053,0.66397,1.4405,0.0045055,0.0045055,0.0045055
113,24489.5,1.05282,0.70249,1.28562,0.71427,0.70843,0.73962,0.50641,1.26075,0.66482,1.44048,0.004456,0.004456,0.004456
114,24702.1,1.05292,0.70229,1.28209,0.68913,0.72572,0.73918,0.50582,1.26102,0.66564,1.44109,0.0044065,0.0044065,0.0044065
115,24914.7,1.04743,0.70038,1.28493,0.71767,0.70162,0.7386,0.50538,1.26142,0.66584,1.44139,0.004357,0.004357,0.004357
116,25127.3,1.04417,0.69872,1.28434,0.71848,0.70187,0.73933,0.50645,1.26184,0.6661,1.44117,0.0043075,0.0043075,0.0043075
117,25340,1.04114,0.69442,1.27797,0.74184,0.68983,0.73927,0.50677,1.26201,0.66692,1.44094,0.004258,0.004258,0.004258
118,25552.7,1.04008,0.69469,1.28101,0.74121,0.6922,0.73899,0.50622,1.26237,0.66724,1.44125,0.0042085,0.0042085,0.0042085
119,25765.3,1.03476,0.68338,1.27515,0.74432,0.69015,0.73923,0.50621,1.26279,0.66815,1.4413,0.004159,0.004159,0.004159
120,25977.9,1.03044,0.68541,1.27293,0.74757,0.69004,0.7397,0.50642,1.26329,0.66892,1.44156,0.0041095,0.0041095,0.0041095
121,26190.4,1.03047,0.68259,1.27133,0.75481,0.68365,0.73893,0.50659,1.26343,0.67019,1.44169,0.00406,0.00406,0.00406
122,26403,1.02119,0.6838,1.266,0.75701,0.68322,0.73856,0.50616,1.26387,0.67041,1.44203,0.0040105,0.0040105,0.0040105
123,26615.7,1.02072,0.67554,1.26576,0.75504,0.68339,0.73817,0.50611,1.26367,0.67129,1.44118,0.003961,0.003961,0.003961
124,26828.2,1.01883,0.67829,1.26444,0.75951,0.68478,0.73792,0.50557,1.26392,0.6718,1.44143,0.0039115,0.0039115,0.0039115
125,27040.9,1.00842,0.67382,1.26271,0.75913,0.68452,0.7381,0.50592,1.26443,0.67276,1.44205,0.003862,0.003862,0.003862
126,27253.6,1.00846,0.67073,1.26043,0.75594,0.68487,0.73809,0.50616,1.26518,0.67348,1.44271,0.0038125,0.0038125,0.0038125
127,27466.2,1.00766,0.6613,1.25444,0.76427,0.68426,0.73762,0.50599,1.26571,0.67447,1.44309,0.003763,0.003763,0.003763
128,27678.8,1.01121,0.66189,1.26141,0.7642,0.68349,0.73742,0.50608,1.26647,0.67563,1.44355,0.0037135,0.0037135,0.0037135
129,27891.5,1.00192,0.66393,1.25297,0.76258,0.68376,0.73664,0.50584,1.26687,0.6762,1.4442,0.003664,0.003664,0.003664
130,28104.1,0.99729,0.65646,1.25042,0.76283,0.68377,0.73611,0.50599,1.26759,0.67635,1.44473,0.0036145,0.0036145,0.0036145
131,28316.8,0.99282,0.64662,1.2436,0.7613,0.68694,0.73602,0.50571,1.26837,0.67703,1.44498,0.003565,0.003565,0.003565
132,28529.4,0.99164,0.64976,1.24658,0.76223,0.69329,0.73618,0.5057,1.26882,0.6776,1.44546,0.0035155,0.0035155,0.0035155
133,28741.9,0.98922,0.64665,1.24167,0.75761,0.69587,0.73573,0.50512,1.26936,0.67852,1.44599,0.003466,0.003466,0.003466
134,28954.5,0.98414,0.64894,1.24303,0.75889,0.69587,0.73548,0.50562,1.26998,0.67897,1.44623,0.0034165,0.0034165,0.0034165
135,29167.1,0.98237,0.64557,1.2368,0.76501,0.69421,0.73522,0.50511,1.2702,0.67862,1.44623,0.003367,0.003367,0.003367
136,29379.9,0.97698,0.63954,1.23693,0.76514,0.6938,0.73503,0.50507,1.2707,0.67924,1.44657,0.0033175,0.0033175,0.0033175
137,29592.6,0.97678,0.6378,1.23747,0.76562,0.69417,0.73479,0.50471,1.27145,0.67946,1.44699,0.003268,0.003268,0.003268
138,29805.1,0.96942,0.63544,1.2311,0.76683,0.69484,0.7349,0.50577,1.27188,0.68038,1.44728,0.0032185,0.0032185,0.0032185
139,30017.6,0.97415,0.64264,1.23288,0.76387,0.69432,0.73507,0.50615,1.27244,0.68116,1.4476,0.003169,0.003169,0.003169
140,30230,0.96288,0.62877,1.22892,0.76331,0.69518,0.73524,0.50644,1.27239,0.68102,1.44758,0.0031195,0.0031195,0.0031195
141,30442.8,0.96327,0.62036,1.22583,0.76057,0.6951,0.73491,0.50664,1.27273,0.68197,1.44807,0.00307,0.00307,0.00307
142,30655.4,0.96027,0.61922,1.22451,0.74485,0.71053,0.73407,0.50655,1.27402,0.68223,1.4495,0.0030205,0.0030205,0.0030205
143,30867.9,0.95137,0.61537,1.22024,0.74403,0.70821,0.73409,0.50606,1.2751,0.68281,1.45052,0.002971,0.002971,0.002971
144,31080.6,0.94619,0.61447,1.22082,0.74404,0.70697,0.73414,0.50604,1.27589,0.68363,1.4515,0.0029215,0.0029215,0.0029215
145,31293.1,0.95,0.61834,1.22246,0.74529,0.71244,0.73464,0.50711,1.27672,0.68474,1.45227,0.002872,0.002872,0.002872
146,31505.6,0.93741,0.60842,1.21519,0.73776,0.71655,0.7347,0.507,1.27667,0.685,1.45232,0.0028225,0.0028225,0.0028225
147,31718.1,0.93744,0.60324,1.21306,0.74344,0.71584,0.73501,0.50806,1.27718,0.68596,1.45332,0.002773,0.002773,0.002773
148,31930.7,0.93385,0.60556,1.20946,0.74449,0.70697,0.73468,0.50803,1.27738,0.6868,1.45353,0.0027235,0.0027235,0.0027235
149,32143.2,0.93352,0.60241,1.2064,0.73922,0.71419,0.73375,0.50778,1.2785,0.68863,1.45476,0.002674,0.002674,0.002674
150,32355.9,0.92895,0.59955,1.20768,0.71345,0.73908,0.73362,0.50753,1.27941,0.68957,1.45539,0.0026245,0.0026245,0.0026245
151,32568.4,0.92086,0.59467,1.20221,0.71627,0.73703,0.73334,0.50707,1.28043,0.69074,1.45634,0.002575,0.002575,0.002575
152,32780.9,0.92034,0.59584,1.20512,0.73042,0.72604,0.73338,0.50655,1.28128,0.69163,1.45701,0.0025255,0.0025255,0.0025255
153,32993.4,0.91534,0.59164,1.20264,0.731,0.73003,0.73409,0.50661,1.28157,0.69163,1.45751,0.002476,0.002476,0.002476
154,33205.8,0.91661,0.59053,1.19965,0.7337,0.72825,0.73403,0.50663,1.28253,0.69269,1.45843,0.0024265,0.0024265,0.0024265
155,33418.4,0.90625,0.58342,1.19379,0.73521,0.72787,0.73371,0.50605,1.28261,0.69381,1.45874,0.002377,0.002377,0.002377
156,33631,0.90622,0.58191,1.19402,0.73513,0.72761,0.73403,0.50687,1.28281,0.69523,1.45906,0.0023275,0.0023275,0.0023275
157,33843.7,0.89734,0.57319,1.18946,0.73949,0.72735,0.73409,0.50627,1.28321,0.69619,1.4596,0.002278,0.002278,0.002278
158,34056.2,0.89738,0.57361,1.18669,0.74058,0.72735,0.73301,0.50612,1.2841,0.69737,1.46093,0.0022285,0.0022285,0.0022285
159,34268.6,0.89025,0.56913,1.18226,0.74257,0.72729,0.73212,0.50527,1.28508,0.6984,1.46207,0.002179,0.002179,0.002179
160,34481,0.88974,0.56867,1.1816,0.74188,0.72737,0.73241,0.50506,1.28607,0.69987,1.46312,0.0021295,0.0021295,0.0021295
161,34693.5,0.88888,0.56846,1.1844,0.74017,0.72782,0.73209,0.50484,1.2869,0.70151,1.46426,0.00208,0.00208,0.00208
162,34906,0.88559,0.56724,1.18167,0.7387,0.72797,0.73216,0.50402,1.28718,0.70334,1.46499,0.0020305,0.0020305,0.0020305
